Date,DayOfWeek,Month,Year,Is_Weekend,Is_Holiday,Product_ID,Category,Base_Price,Discount_Percentage,Current_Price,Store_ID,Store_Type,Competitor_Price,Footfall_Index,Avg_Temperature,Rainfall_mm,Social_Media_Sentiment,Lead_Time_Days,Safety_Stock_Level,Stock_On_Hand,Daily_Units_Sold,Festival_Name,Festival_Type,UPC_EAN,Product_Name,Sub_Category,Brand_Name,Brand_Tier,Shelf_Life_Days,No_of_Checkout_Counters,Avg_Billing_Time_min,Local_Population_Density,Product_Age_Days,No_of_Customer_Purchases,Unit_Cost,Promotional_Campaign_Flag,Competitor_Promotion_Flag,Google_Trends_Current_Wk,Google_Trends_Lag_1w,Shelf_Capacity,Promotion_Type,Marketing_Spend,Payday_Flag,School_Vacation_Flag,Local_Event_Flag,Launch_Date,Seasonal_Product_Flag,Online_Sales_Units,In_Store_Sales_Units,App_Traffic_Index,Website_Visits,Backorder_Flag,Supplier_Delay_Days,Fill_Rate_Pct,Loyalty_Program_Usage_Count,Repeat_Purchase_Rate,Avg_Basket_Size
04/11/2023,1,4,2023,0,0,1003,Beauty,225.64,0.23,173.74,16,Urban,234.4,64.4,23.6,4.6,0.94,10,71,312,116,,,6350352982163,Dove Skincare 1003,Skincare,Dove,Premium,391,3,2.2,9314,1782,62,119.37,Y,N,36,64,111,Loyalty Only,3212,0,0,0,05/25/2018,N,12,104,488,896,N,3,98.95,20,0.32,1.87
09/21/2023,3,9,2023,0,0,1015,Electronics,418.88,0.36,268.08,10,Rural,427.48,109.3,6.8,0.7,0.36,7,95,306,100,,,5094762337870,Sony Computers 1015,Computers,Sony,Mid,1196,13,4.2,1104,1759,38,301.49,Y,Y,61,36,96,Flash Sale,4138,0,0,0,11/27/2018,N,20,80,543,1111,N,5,85.98,20,0.24,2.63
02/22/2023,2,2,2023,0,0,1015,Home,136.16,0.05,129.35,4,Urban,127.57,127.2,17.0,2.5,0.4,7,125,495,129,,,6142649910959,Sleepwell Kitchenware 1015,Kitchenware,Sleepwell,Mid,2782,12,2.5,10210,1139,50,105.96,N,Y,58,61,110,None,1230,0,0,0,01/10/2020,N,30,99,612,1379,N,3,90.77,23,0.39,2.58
03/01/2023,2,3,2023,0,0,1000,Clothing,227.07,0.42,131.7,13,Rural,216.77,174.0,20.1,17.8,0.75,10,74,21,154,,,7738194950076,Allen Solly Activewear 1000,Activewear,Allen Solly,Premium,829,6,3.6,705,706,118,140.5,Y,Y,30,58,71,Seasonal Discount,6021,1,0,0,03/25/2021,N,17,137,522,1030,Y,2,92.71,30,0.24,1.31
04/18/2023,1,4,2023,0,0,1001,Beauty,271.16,0.37,170.83,10,Rural,266.22,61.4,14.2,2.2,0.13,14,50,67,98,,,5985799842868,Lakme Skincare 1001,Skincare,Lakme,Budget,635,13,4.2,1104,731,27,167.06,Y,N,23,30,53,Loyalty Only,2656,0,0,0,04/17/2021,N,26,72,584,1272,N,0,89.04,10,0.3,3.63
01/05/2023,3,1,2023,0,0,1002,Grocery,333.49,0.11,296.81,14,Urban,346.78,102.3,28.1,10.1,0.31,10,132,391,86,,,8148570840155,Nestle Beverages 1002,Beverages,Nestle,Premium,54,5,2.1,7326,228,31,221.48,N,Y,77,23,86,None,670,1,0,0,05/22/2022,Y,10,76,474,843,N,2,87.58,13,0.37,2.77
04/13/2023,3,4,2023,0,0,1019,Grocery,393.07,0.07,365.56,9,Rural,403.98,173.4,28.3,0.5,0.12,9,179,315,77,,,764059675490,Ashirvad Beverages 1019,Beverages,Ashirvad,Budget,16,10,7.6,1191,784,55,259.5,Y,Y,42,77,78,Seasonal Discount,4123,0,0,0,02/18/2021,Y,14,63,502,950,N,1,96.72,20,0.12,1.4
07/15/2023,5,7,2023,1,0,1016,Electronics,200.43,0.16,168.36,11,Urban,201.72,147.3,29.0,2.0,0.45,6,125,64,137,,,2275932199366,Samsung Mobiles 1016,Mobiles,Samsung,Premium,1143,6,4.4,6438,102,131,139.83,Y,Y,33,42,71,Seasonal Discount,4259,0,0,0,04/04/2023,N,23,114,564,1191,Y,7,98.09,56,0.16,1.05
09/19/2023,1,9,2023,0,0,1019,Clothing,324.79,0.49,165.64,18,Rural,342.23,93.5,27.1,2.2,0.55,8,75,291,101,,,5162036505785,Zara Formalwear 1019,Formalwear,Zara,Budget,624,4,4.7,1754,335,43,239.79,Y,N,26,33,58,Seasonal Discount,2886,0,0,0,10/19/2022,N,15,86,509,977,N,0,98.74,25,0.35,2.35
12/31/2023,6,12,2023,1,1,1000,Home,79.55,0.13,69.21,11,Rural,83.65,176.8,14.5,0.3,0.21,2,125,454,151,,,495872934000,Sleepwell Furniture 1000,Furniture,Sleepwell,Premium,1117,5,3.3,1637,1651,41,52.69,N,Y,57,26,42,None,722,1,1,0,06/24/2019,N,16,135,516,1003,N,3,98.22,22,0.14,3.68
12/16/2023,5,12,2023,1,0,1019,Grocery,466.66,0.23,359.33,17,Rural,477.66,124.0,10.3,0.6,0.03,8,148,216,67,,,764059675490,Ashirvad Beverages 1019,Beverages,Ashirvad,Budget,16,4,2.6,1279,784,24,236.7,Y,Y,77,57,59,Flash Sale,4020,0,1,0,10/23/2021,Y,9,58,467,816,N,0,89.65,5,0.14,2.79
02/16/2023,3,2,2023,0,0,1005,Electronics,194.61,0.02,190.72,2,Urban,205.78,124.8,28.3,1.1,0.72,9,110,28,120,,,435507398804,Sony Audio 1005,Audio,Sony,Budget,1593,8,2.9,6891,1969,74,105.89,Y,Y,67,77,50,Loyalty Only,5566,0,0,0,09/26/2017,N,33,87,633,1459,Y,0,98.63,15,0.12,1.62
12/21/2023,3,12,2023,0,1,1014,Clothing,366.11,0.2,292.89,3,Urban,353.97,196.5,14.6,9.1,0.02,4,59,192,113,,,2238210451428,FabIndia Winter wear 1014,Winter wear,FabIndia,Mid,1071,9,6.6,14271,1239,27,276.41,Y,Y,64,67,48,Loyalty Only,2107,0,1,0,07/30/2020,Y,31,82,619,1406,N,3,91.07,6,0.1,4.19
11/07/2023,1,11,2023,0,0,1013,Clothing,15.07,0.29,10.7,11,Urban,16.22,192.1,4.9,0.3,0.97,5,80,55,170,,,8974285838703,FabIndia Activewear 1013,Activewear,FabIndia,Budget,530,6,4.4,6438,905,131,8.61,Y,Y,21,64,117,Flash Sale,2457,0,0,0,05/16/2021,N,57,113,798,2103,Y,2,95.24,29,0.22,1.3
11/04/2023,5,11,2023,1,0,1019,Electronics,106.57,0.48,55.42,18,Urban,109.02,103.8,15.3,1.8,0.22,5,172,337,115,,,832733976485,Bose Computers 1019,Computers,Bose,Mid,1209,13,2.6,5779,1128,102,82.77,Y,Y,25,21,109,Seasonal Discount,1862,1,0,0,10/02/2020,N,29,86,605,1352,N,2,91.98,57,0.32,1.13
05/24/2023,2,5,2023,0,0,1014,Electronics,246.11,0.26,182.12,3,Rural,261.98,71.1,0.7,0.1,0.66,2,89,387,108,,,9068867798232,Samsung Mobiles 1014,Mobiles,Samsung,Budget,1364,11,7.3,1637,1510,107,204.57,Y,Y,28,25,26,Flash Sale,2865,0,1,0,04/05/2019,N,28,80,598,1325,N,5,88.23,55,0.24,1.01
09/26/2023,1,9,2023,0,0,1013,Home,439.73,0.41,259.44,15,Rural,443.8,98.9,22.7,5.9,0.43,5,88,211,96,,,8394125838184,Sleepwell Furniture 1013,Furniture,Sleepwell,Mid,2850,13,3.1,1680,767,45,305.3,Y,Y,30,28,58,Flash Sale,2401,0,0,0,08/20/2021,N,33,63,633,1459,N,1,92.86,18,0.25,2.13
05/04/2023,3,5,2023,0,0,1004,Electronics,265.99,0.27,194.17,11,Urban,251.01,54.6,8.4,4.8,0.06,9,29,237,94,,,2506873456755,Sony Mobiles 1004,Mobiles,Sony,Premium,1119,6,4.4,6438,549,88,151.85,Y,N,40,30,69,Flash Sale,3595,1,1,0,11/01/2021,N,22,72,557,1164,N,3,86.66,38,0.18,1.07
04/16/2023,6,4,2023,1,0,1005,Home,465.29,0.02,455.98,11,Urban,469.24,53.1,5.4,5.2,0.47,4,165,199,48,,,9687801551834,Tupperware Decor 1005,Decor,Tupperware,Premium,2280,6,4.4,6438,1846,31,385.29,N,Y,12,40,118,None,1600,0,0,0,03/27/2018,Y,13,35,495,923,N,2,96.36,14,0.16,1.55
06/07/2023,2,6,2023,0,0,1016,Home,244.48,0.16,205.36,20,Urban,238.18,109.3,33.3,2.3,0.52,10,132,474,111,,,4975301079524,Philips Kitchenware 1016,Kitchenware,Philips,Mid,2051,9,5.7,8788,1701,93,131.33,Y,Y,34,12,111,Flash Sale,5068,0,1,1,10/10/2018,N,22,89,557,1164,N,3,91.25,45,0.25,1.19
05/27/2023,5,5,2023,1,1,1010,Beauty,247.77,0.29,175.92,11,Urban,257.56,191.2,26.1,1.2,0.85,3,46,177,137,,,6217443083823,Lakme Fragrance 1010,Fragrance,Lakme,Budget,384,6,4.4,6438,732,126,165.23,Y,N,68,34,45,Seasonal Discount,5143,0,1,0,05/25/2021,N,35,102,646,1513,N,2,95.92,67,0.28,1.09
05/25/2023,3,5,2023,0,0,1015,Clothing,64.27,0.48,33.42,19,Urban,63.96,180.7,26.5,6.4,0.73,14,12,422,169,,,5121255293176,FabIndia Activewear 1015,Activewear,FabIndia,Premium,1105,15,3.6,7003,173,57,43.51,Y,Y,62,68,60,BOGO,4216,0,1,0,12/03/2022,N,44,125,708,1754,N,0,98.87,28,0.12,2.96
04/30/2023,6,4,2023,1,0,1011,Clothing,402.31,0.43,229.32,1,Urban,429.35,126.7,19.9,8.3,0.08,7,102,418,120,,,9350894528554,Allen Solly Ethnic wear 1011,Ethnic wear,Allen Solly,Mid,1141,9,5.5,5995,794,35,260.75,Y,Y,28,62,64,Loyalty Only,3217,1,0,1,02/25/2021,Y,25,95,577,1245,N,1,89.4,10,0.32,3.43
11/15/2023,2,11,2023,0,0,1014,Clothing,127.25,0.11,113.25,5,Rural,131.78,134.8,28.6,0.7,0.21,8,196,152,116,,,2238210451428,FabIndia Winter wear 1014,Winter wear,FabIndia,Mid,1071,13,2.3,682,1239,72,64.59,N,Y,77,28,97,None,726,0,0,0,06/24/2020,Y,30,86,612,1379,N,0,97.05,18,0.39,1.61
10/02/2023,0,10,2023,0,0,1003,Beauty,450.31,0.11,400.78,10,Urban,466.93,50.9,25.4,3.3,0.31,13,110,461,29,,,6350352982163,Dove Skincare 1003,Skincare,Dove,Premium,391,7,3.6,13719,1782,25,318.44,N,N,58,77,26,None,598,1,0,0,11/15/2018,N,7,22,454,762,N,2,95.02,6,0.39,1.16
04/02/2023,6,4,2023,1,0,1017,Home,455.86,0.1,410.27,10,Urban,430.07,82.3,19.0,1.4,0.12,13,164,43,51,,,5394891561256,Tupperware Bedding 1017,Bedding,Tupperware,Premium,2810,7,3.6,13719,86,45,296.44,N,Y,15,58,101,None,1518,1,0,0,01/06/2023,N,17,34,522,1030,N,1,90.07,10,0.16,1.13
02/27/2023,0,2,2023,0,1,1002,Home,471.94,0.46,254.85,14,Rural,517.65,53.7,33.4,0.9,0.46,10,41,430,83,,,660993912552,Ikea Kitchenware 1002,Kitchenware,Ikea,Premium,2154,11,7.6,1293,534,59,374.86,Y,N,75,15,22,BOGO,2069,0,0,0,09/11/2021,N,22,61,557,1164,N,0,86.13,18,0.21,1.41
12/12/2023,1,12,2023,0,0,1007,Electronics,262.51,0.43,149.63,2,Urban,280.45,163.2,2.7,6.6,0.98,6,57,167,140,,,38164282014,Bose Audio 1007,Audio,Bose,Premium,1111,8,2.9,6891,1374,43,213.09,Y,Y,20,75,116,Seasonal Discount,4459,0,1,0,03/08/2020,N,33,107,633,1459,N,0,97.37,17,0.31,3.26
08/17/2023,3,8,2023,0,0,1002,Beauty,340.16,0.39,207.5,4,Rural,359.82,71.8,32.7,3.9,0.51,6,55,286,108,,,8588322527842,L'oreal Makeup 1002,Makeup,L'oreal,Mid,577,6,6.0,1738,1452,108,287.55,Y,Y,17,20,95,BOGO,2373,0,0,0,08/26/2019,N,27,81,591,1298,N,0,99.53,21,0.33,1.0
04/27/2023,3,4,2023,0,0,1007,Electronics,390.37,0.2,312.3,2,Rural,377.11,180.4,11.1,1.2,0.74,13,123,196,97,,,38164282014,Bose Audio 1007,Audio,Bose,Premium,1111,8,6.7,1688,1374,73,285.98,Y,N,40,17,114,Flash Sale,5570,0,0,0,07/23/2019,N,32,65,626,1432,N,3,86.24,17,0.22,1.33
11/14/2023,1,11,2023,0,0,1017,Beauty,69.85,0.25,52.39,18,Rural,70.35,146.5,16.1,1.9,0.68,5,104,336,131,,,9755188027019,Lakme Makeup 1017,Makeup,Lakme,Mid,504,4,4.7,1754,1351,51,54.81,Y,N,70,40,99,Seasonal Discount,1688,0,0,0,03/03/2020,N,43,88,701,1727,N,2,94.68,16,0.35,2.57
10/06/2023,4,10,2023,0,0,1009,Electronics,302.47,0.23,232.9,13,Urban,280.52,84.4,-0.1,17.0,0.85,11,56,73,110,,,6904971737690,Bose Audio 1009,Audio,Bose,Budget,1682,7,3.2,14233,813,61,226.84,Y,Y,62,70,103,Loyalty Only,5623,0,0,0,07/15/2021,N,17,93,522,1030,N,2,87.72,31,0.24,1.8
05/07/2023,6,5,2023,1,0,1019,Grocery,21.98,0.13,19.12,19,Urban,22.15,73.7,16.6,9.4,0.22,6,49,170,113,,,764059675490,Ashirvad Beverages 1019,Beverages,Ashirvad,Budget,16,15,3.6,7003,784,74,11.72,N,Y,68,62,42,None,1480,0,1,0,03/14/2021,Y,23,90,564,1191,N,1,95.1,30,0.13,1.53
05/09/2023,1,5,2023,0,0,1016,Clothing,251.3,0.25,188.48,5,Rural,233.5,144.1,19.4,10.6,0.75,9,140,379,123,,,2699066886820,Levis Ethnic wear 1016,Ethnic wear,Levis,Budget,1302,13,2.3,682,941,86,179.89,Y,Y,35,68,118,Loyalty Only,4908,0,1,0,10/10/2020,Y,15,108,509,977,N,3,89.4,29,0.28,1.43
02/27/2023,0,2,2023,0,0,1007,Clothing,81.65,0.02,80.02,20,Rural,82.52,185.1,34.9,3.1,0.88,2,125,182,171,,,3511793359086,FabIndia Formalwear 1007,Formalwear,FabIndia,Mid,1060,3,5.5,1463,1502,46,57.23,N,Y,55,35,93,None,1251,0,0,0,01/17/2019,N,36,135,653,1540,N,3,96.5,17,0.39,3.72
05/02/2023,1,5,2023,0,0,1010,Home,95.55,0.07,88.86,2,Urban,98.39,157.8,34.0,4.9,0.17,10,166,15,135,,,5360161709121,Ikea Kitchenware 1010,Kitchenware,Ikea,Mid,2038,8,2.9,6891,496,82,52.74,N,Y,78,55,53,None,1019,1,1,0,12/22/2021,N,24,111,571,1218,Y,2,93.53,31,0.19,1.65
01/01/2023,6,1,2023,1,1,1004,Grocery,185.7,0.44,103.99,11,Urban,181.62,102.3,33.7,2.4,0.35,11,100,495,114,New Year,Gifting Season,5127157404970,Nestle Grains 1004,Grains,Nestle,Premium,22,6,4.4,6438,1410,71,157.76,Y,N,20,78,99,Loyalty Only,4118,1,0,0,02/21/2019,N,30,84,612,1379,N,2,89.71,39,0.18,1.61
08/27/2023,6,8,2023,1,0,1012,Clothing,219.06,0.38,135.82,18,Urban,219.0,138.1,8.9,0.4,0.97,3,67,67,151,,,8799422298307,FabIndia Activewear 1012,Activewear,FabIndia,Mid,1080,13,2.6,5779,1587,38,157.9,Y,N,86,20,54,Flash Sale,4461,0,0,0,04/23/2019,N,53,98,770,1995,Y,2,92.47,15,0.33,3.97
10/17/2023,1,10,2023,0,0,1004,Home,313.47,0.21,247.64,6,Urban,337.02,96.6,34.7,2.6,0.78,1,187,374,96,,,1418637259927,Philips Kitchenware 1004,Kitchenware,Philips,Budget,2366,7,3.6,6002,607,55,219.63,Y,Y,55,86,92,Loyalty Only,5239,0,0,0,02/17/2022,N,9,87,467,816,N,0,92.29,11,0.26,1.75
04/06/2023,3,4,2023,0,0,1012,Grocery,41.84,0.26,30.96,10,Urban,38.56,199.9,13.2,4.5,0.28,4,19,324,157,,,16104203210,Nestle Spices 1012,Spices,Nestle,Premium,7,7,3.6,13719,1330,44,30.02,Y,Y,92,55,52,BOGO,3281,0,0,0,08/15/2019,N,41,116,688,1674,N,1,95.84,13,0.13,3.57
05/06/2023,5,5,2023,1,0,1005,Clothing,254.33,0.18,208.55,17,Urban,269.17,162.3,29.1,1.7,0.56,2,70,41,139,,,5104045406377,Allen Solly Activewear 1005,Activewear,Allen Solly,Budget,1013,11,7.4,9278,1205,30,158.88,Y,Y,89,92,63,BOGO,4406,0,1,0,01/17/2020,N,15,124,509,977,Y,0,93.77,15,0.35,4.63
04/28/2023,4,4,2023,0,0,1004,Electronics,95.4,0.37,60.1,11,Urban,89.12,142.2,3.7,9.4,0.4,6,120,109,134,,,2506873456755,Sony Mobiles 1004,Mobiles,Sony,Premium,1119,6,4.4,6438,549,103,73.98,Y,N,16,89,69,Seasonal Discount,5973,0,0,1,10/26/2021,N,19,115,536,1084,N,6,90.86,40,0.23,1.3
02/17/2023,4,2,2023,0,0,1008,Beauty,289.12,0.39,176.36,19,Rural,262.33,113.5,15.2,0.8,0.49,13,130,40,102,,,5775484012877,L'oreal Haircare 1008,Haircare,L'oreal,Premium,504,11,2.9,1411,172,24,220.29,Y,Y,25,16,39,Seasonal Discount,1641,0,0,0,08/29/2022,N,25,77,577,1245,Y,0,97.59,5,0.1,4.25
03/30/2023,3,3,2023,0,0,1015,Grocery,320.52,0.38,198.72,17,Urban,300.36,142.7,33.6,2.3,0.36,1,70,305,101,,,9597694480687,Amul Grains 1015,Grains,Amul,Mid,46,11,7.4,9278,555,45,237.1,Y,N,35,25,65,BOGO,2830,0,0,0,09/21/2021,N,21,80,550,1137,N,1,89.54,25,0.22,2.24
08/25/2023,4,8,2023,0,0,1001,Home,280.57,0.36,179.56,4,Rural,295.44,101.2,32.9,0.7,0.28,8,160,467,112,,,7102851061712,Tupperware Bedding 1001,Bedding,Tupperware,Mid,2790,6,6.0,1738,616,82,183.38,Y,N,50,35,90,BOGO,2896,0,0,0,12/17/2021,N,37,75,660,1566,N,2,94.44,19,0.39,1.37
09/29/2023,4,9,2023,0,0,1000,Grocery,370.46,0.1,333.41,14,Rural,363.43,54.3,22.3,2.6,0.67,10,15,5,67,,,6817973669476,Amul Spices 1000,Spices,Amul,Budget,63,11,7.6,1293,1680,56,286.68,N,N,57,50,109,None,977,0,0,0,02/22/2019,N,16,51,516,1003,Y,3,92.79,14,0.39,1.2
07/08/2023,5,7,2023,1,1,1007,Home,171.13,0.17,142.04,20,Urban,183.88,109.3,26.9,0.2,0.78,6,84,330,120,,,1101924574788,Ikea Kitchenware 1007,Kitchenware,Ikea,Budget,2470,9,5.7,8788,891,120,98.62,Y,N,39,57,94,BOGO,1686,0,0,0,01/28/2021,N,41,79,688,1674,N,2,97.72,45,0.27,1.0
07/11/2023,1,7,2023,0,1,1018,Grocery,383.73,0.23,295.47,4,Rural,385.63,189.6,2.1,1.6,0.87,9,197,180,100,,,9284369426405,Amul Beverages 1018,Beverages,Amul,Mid,82,6,6.0,1738,653,85,246.35,Y,N,92,39,37,BOGO,2686,0,0,0,09/26/2021,Y,10,90,474,843,N,0,90.54,46,0.19,1.18
03/10/2023,4,3,2023,0,0,1010,Home,219.22,0.17,181.95,14,Rural,198.27,143.9,23.9,2.6,0.16,12,124,272,124,,,5360161709121,Ikea Kitchenware 1010,Kitchenware,Ikea,Mid,2038,11,7.6,1293,496,86,175.76,Y,N,57,92,96,Loyalty Only,2855,0,0,0,10/30/2021,N,22,102,557,1164,N,1,97.89,45,0.39,1.44
10/05/2023,3,10,2023,0,0,1011,Clothing,244.67,0.38,151.7,4,Urban,255.27,62.6,19.7,3.3,0.82,6,164,360,100,,,9350894528554,Allen Solly Ethnic wear 1011,Ethnic wear,Allen Solly,Mid,1141,12,2.5,10210,794,72,163.89,Y,Y,77,57,27,Flash Sale,3306,1,0,0,08/02/2021,Y,36,64,653,1540,N,0,88.74,28,0.13,1.39
12/15/2023,4,12,2023,0,0,1011,Electronics,325.81,0.16,273.68,6,Urban,300.41,182.7,-1.3,3.9,0.25,10,192,184,86,,,4385547629763,Samsung Computers 1011,Computers,Samsung,Mid,1224,7,3.6,6002,1637,26,257.51,Y,N,29,77,40,Loyalty Only,6816,0,1,0,06/22/2019,N,16,70,516,1003,N,3,93.08,10,0.15,3.31
09/04/2023,0,9,2023,0,0,1006,Clothing,14.09,0.07,13.1,9,Urban,14.91,90.3,-0.5,1.6,0.43,7,40,322,133,,,3008747811724,FabIndia Formalwear 1006,Formalwear,FabIndia,Mid,1057,3,6.8,6250,1238,74,7.51,N,N,75,29,77,None,1499,1,0,0,04/14/2020,N,40,93,681,1647,N,1,89.71,40,0.17,1.8
03/17/2023,4,3,2023,0,0,1012,Electronics,328.73,0.2,262.98,12,Rural,306.91,86.6,-0.7,3.7,0.9,5,132,143,101,,,8638690599897,Samsung Mobiles 1012,Mobiles,Samsung,Premium,1796,5,7.8,1981,1727,46,246.78,Y,N,82,75,112,Loyalty Only,2057,0,0,0,06/24/2018,N,30,71,612,1379,N,2,95.92,18,0.11,2.2
06/03/2023,5,6,2023,1,0,1007,Clothing,311.2,0.49,158.71,8,Rural,301.58,94.6,24.0,3.6,0.45,14,167,435,117,,,3511793359086,FabIndia Formalwear 1007,Formalwear,FabIndia,Mid,1060,11,6.0,1321,1502,60,180.11,Y,Y,14,82,99,Loyalty Only,3853,1,1,0,04/23/2019,N,44,73,708,1754,N,2,89.53,17,0.2,1.95
05/24/2023,2,5,2023,0,0,1008,Clothing,158.37,0.11,140.95,4,Urban,166.65,136.6,0.7,1.9,0.2,8,76,99,117,,,3749811340871,FabIndia Winter wear 1008,Winter wear,FabIndia,Premium,781,12,2.5,10210,1587,39,112.57,N,N,29,14,89,None,638,0,1,0,01/18/2019,Y,19,98,536,1084,N,1,94.66,8,0.12,3.0
03/27/2023,0,3,2023,0,0,1006,Grocery,47.47,0.31,32.75,5,Rural,51.78,131.7,13.7,8.9,0.16,8,22,89,131,,,9655593773495,Ashirvad Spices 1006,Spices,Ashirvad,Budget,77,13,2.3,682,268,52,29.79,Y,N,46,29,97,Seasonal Discount,6086,0,0,0,07/02/2022,N,20,111,543,1111,N,0,94.95,30,0.13,2.52
07/04/2023,1,7,2023,0,0,1014,Beauty,50.01,0.22,39.01,6,Urban,48.72,123.7,9.3,3.9,0.47,10,68,471,133,,,7639209561846,Lakme Makeup 1014,Makeup,Lakme,Premium,522,7,3.6,6002,1922,33,29.1,Y,Y,29,46,99,BOGO,2766,1,0,0,03/30/2018,N,19,114,536,1084,N,0,98.18,9,0.2,4.03
10/12/2023,3,10,2023,0,0,1001,Home,462.0,0.04,443.52,5,Urban,492.44,157.6,17.0,2.0,0.76,9,63,245,86,,,7102851061712,Tupperware Bedding 1001,Bedding,Tupperware,Mid,2790,11,6.6,5663,616,82,386.93,Y,N,33,29,60,Seasonal Discount,2921,0,0,0,02/03/2022,N,15,71,509,977,N,1,97.48,33,0.27,1.05
08/08/2023,1,8,2023,0,0,1019,Home,346.19,0.24,263.1,19,Rural,324.78,97.5,23.3,14.7,1.0,12,113,238,77,,,3209844131820,Philips Kitchenware 1019,Kitchenware,Philips,Budget,1822,11,2.9,1411,443,63,279.21,Y,N,37,33,113,Flash Sale,6303,0,0,1,05/22/2022,N,27,50,591,1298,N,3,94.18,28,0.36,1.22
03/10/2023,4,3,2023,0,0,1011,Home,67.92,0.35,44.15,8,Urban,72.09,167.3,22.4,9.3,0.79,6,30,417,147,,,241095574500,Philips Kitchenware 1011,Kitchenware,Philips,Premium,1911,3,7.5,7119,1530,134,56.09,Y,Y,90,37,62,BOGO,3247,0,0,1,12/31/2018,N,26,121,584,1272,N,1,99.8,75,0.3,1.1
02/16/2023,3,2,2023,0,0,1000,Electronics,181.58,0.26,134.37,9,Rural,187.3,76.3,15.6,20.3,0.88,1,52,211,112,,,8427460612484,Sony Computers 1000,Computers,Sony,Mid,1882,10,7.6,1191,801,62,151.06,Y,Y,70,90,33,BOGO,5951,0,0,0,12/07/2020,N,15,97,509,977,N,0,93.25,14,0.19,1.81
04/04/2023,1,4,2023,0,0,1007,Home,298.28,0.44,167.04,15,Rural,279.95,167.4,13.6,5.9,0.75,9,20,80,111,,,1101924574788,Ikea Kitchenware 1007,Kitchenware,Ikea,Budget,2470,13,3.1,1680,891,103,205.69,Y,Y,72,70,82,Loyalty Only,5097,1,0,0,10/25/2020,N,28,83,598,1325,N,0,99.62,39,0.2,1.08
08/26/2023,5,8,2023,1,0,1004,Home,418.61,0.14,360.0,4,Rural,402.08,149.6,10.9,2.4,0.9,3,118,114,93,,,1418637259927,Philips Kitchenware 1004,Kitchenware,Philips,Budget,2366,6,6.0,1738,607,80,209.85,N,N,53,72,70,None,1319,0,0,0,12/27/2021,N,24,69,571,1218,N,1,97.65,31,0.16,1.16
07/23/2023,6,7,2023,1,0,1014,Grocery,26.61,0.04,25.55,9,Urban,24.65,152.5,29.5,1.6,0.08,9,76,275,134,,,7766417546584,Nestle Grains 1014,Grains,Nestle,Budget,82,3,6.8,6250,1757,133,14.58,N,N,40,53,103,None,900,0,0,0,09/30/2018,N,50,84,749,1915,N,1,92.85,68,0.36,1.01
08/06/2023,6,8,2023,1,0,1000,Clothing,122.13,0.47,64.73,7,Rural,119.27,122.2,8.2,5.4,0.93,7,175,79,152,,,7738194950076,Allen Solly Activewear 1000,Activewear,Allen Solly,Premium,829,11,5.2,1046,706,110,88.68,Y,N,21,40,85,BOGO,2124,0,0,0,08/30/2021,N,50,102,749,1915,N,3,98.31,38,0.22,1.38
12/07/2023,3,12,2023,0,0,1000,Home,445.43,0.19,360.8,8,Rural,419.03,150.1,5.4,19.8,0.4,14,104,55,75,,,495872934000,Sleepwell Furniture 1000,Furniture,Sleepwell,Premium,1117,11,6.0,1321,1651,31,374.9,Y,N,67,21,30,Seasonal Discount,2460,0,1,0,05/31/2019,N,19,56,536,1084,N,1,86.84,11,0.1,2.42
02/08/2023,2,2,2023,0,0,1009,Beauty,9.54,0.29,6.77,15,Urban,9.81,62.0,24.7,4.9,0.92,12,161,178,131,,,7654427826707,Lakme Makeup 1009,Makeup,Lakme,Budget,567,6,5.9,12371,1014,47,6.0,Y,Y,22,67,71,Seasonal Discount,4369,0,0,0,04/30/2020,N,20,111,543,1111,N,1,85.03,17,0.21,2.79
04/10/2023,0,4,2023,0,0,1009,Home,104.69,0.4,62.81,19,Urban,115.04,177.7,9.4,10.7,0.08,13,115,308,135,,,7030810140677,Sleepwell Kitchenware 1009,Kitchenware,Sleepwell,Premium,1569,15,3.6,7003,943,83,58.54,Y,Y,70,22,25,Flash Sale,5687,0,0,0,09/09/2020,N,50,85,749,1915,N,2,94.04,34,0.34,1.63
10/16/2023,0,10,2023,0,0,1014,Electronics,479.72,0.16,402.96,15,Urban,432.9,58.3,28.9,2.0,0.72,3,60,48,58,,,9068867798232,Samsung Mobiles 1014,Mobiles,Samsung,Budget,1364,6,5.9,12371,1510,25,385.28,Y,Y,17,70,92,Seasonal Discount,3509,0,0,0,08/28/2019,N,9,49,467,816,N,4,86.84,8,0.39,2.32
09/11/2023,0,9,2023,0,0,1016,Electronics,308.63,0.36,197.52,5,Rural,311.16,72.3,8.1,2.6,0.74,9,198,259,96,,,2275932199366,Samsung Mobiles 1016,Mobiles,Samsung,Premium,1143,13,2.3,682,102,47,188.1,Y,N,87,17,74,Seasonal Discount,2593,0,0,0,06/01/2023,N,13,83,495,923,N,6,95.41,26,0.38,2.04
08/10/2023,3,8,2023,0,0,1005,Electronics,134.53,0.07,125.11,19,Rural,136.51,136.5,23.1,11.8,1.0,14,55,273,145,,,435507398804,Sony Audio 1005,Audio,Sony,Budget,1593,11,2.9,1411,1969,67,70.35,N,N,38,87,44,None,998,0,0,0,03/20/2018,N,51,94,756,1942,N,0,95.51,26,0.31,2.16
